product_id,candidate_url,last_status,failure_reason,error_message,attempt_count,last_source_url,last_resolved_url,scraped_at
88056,https://www.ring-paare.de/fever-debut.html?alloy=white-375&stone=diamond-Zirconia&itm_source=recommendation&itm_medium=sorting,not_found_in_configured_stores,not_found_in_configured_stores,,12,https://www.ring-paare.de/fever-debut.html?alloy=white-375&stone=diamond-Zirconia&itm_source=recommendation&itm_medium=sorting,,2026-06-14T07:52:09.098468+00:00
88105,https://www.ring-paare.de/alluring-event.html?stone=diamond-Zirconia&alloy=white_red-375,not_found_in_configured_stores,not_found_in_configured_stores,,12,https://www.ring-paare.de/alluring-event.html?stone=diamond-Zirconia&alloy=white_red-375,,2026-06-14T07:52:10.408044+00:00
88114,https://www.ring-paare.de/alluring-meeting.html?alloy=white-375&stone=diamond-Zirconia&itm_source=recommendation&itm_medium=sorting,not_found_in_configured_stores,not_found_in_configured_stores,,12,https://www.ring-paare.de/alluring-meeting.html?alloy=white-375&stone=diamond-Zirconia&itm_source=recommendation&itm_medium=sorting,,2026-06-14T07:52:11.547516+00:00
88121,https://www.ring-paare.de/herrenring-alluring-meeting.html?alloy=white-375&itm_source=recommendation&itm_medium=sorting,not_found_in_configured_stores,not_found_in_configured_stores,,12,https://www.ring-paare.de/herrenring-alluring-meeting.html?alloy=white-375&itm_source=recommendation&itm_medium=sorting,,2026-06-14T07:52:11.622473+00:00
88177,https://www.ring-paare.de/alluring-look.html?alloy=white-375&stone=diamond-Zirconia&itm_source=recommendation&itm_medium=sorting,not_found_in_configured_stores,not_found_in_configured_stores,,12,https://www.ring-paare.de/alluring-look.html?alloy=white-375&stone=diamond-Zirconia&itm_source=recommendation&itm_medium=sorting,,2026-06-14T07:52:14.098273+00:00
88247,https://www.ring-paare.de/alluring-behaviour.html?alloy=white-375&stone=diamond-Zirconia&itm_source=recommendation&itm_medium=sorting,not_found_in_configured_stores,not_found_in_configured_stores,,12,https://www.ring-paare.de/alluring-behaviour.html?alloy=white-375&stone=diamond-Zirconia&itm_source=recommendation&itm_medium=sorting,,2026-06-14T07:52:19.010873+00:00
88250,https://www.ring-paare.de/herrenring-alluring-behaviour.html?alloy=white-375&itm_source=recommendation&itm_medium=sorting,not_found_in_configured_stores,not_found_in_configured_stores,,12,https://www.ring-paare.de/herrenring-alluring-behaviour.html?alloy=white-375&itm_source=recommendation&itm_medium=sorting,,2026-06-14T07:52:19.262358+00:00
88278,https://www.ring-paare.de/alluring-duty.html?alloy=white_yellow-375&stone=diamond-Zirconia&itm_source=recommendation&itm_medium=sorting,not_found_in_configured_stores,not_found_in_configured_stores,,12,https://www.ring-paare.de/alluring-duty.html?alloy=white_yellow-375&stone=diamond-Zirconia&itm_source=recommendation&itm_medium=sorting,,2026-06-14T07:52:20.951766+00:00
88300,https://www.ring-paare.de/alluring-base.html?alloy=white-585&stone=diamond-Zirconia&itm_source=recommendation&itm_medium=sorting,not_found_in_configured_stores,not_found_in_configured_stores,,12,https://www.ring-paare.de/alluring-base.html?alloy=white-585&stone=diamond-Zirconia&itm_source=recommendation&itm_medium=sorting,,2026-06-14T07:52:23.754291+00:00
88304,https://www.ring-paare.de/alluring-river.html?alloy=white-585&stone=diamond-Zirconia&itm_source=recommendation&itm_medium=sorting,not_found_in_configured_stores,not_found_in_configured_stores,,12,https://www.ring-paare.de/alluring-river.html?alloy=white-585&stone=diamond-Zirconia&itm_source=recommendation&itm_medium=sorting,,2026-06-14T07:52:23.872296+00:00
